date,price,open,high,low,vol,change
2016-01-14,1073.60 ,1093.50 ,1093.50 ,1071.30 ,0.33K,-1.25%
2016-01-13,1087.20 ,1087.30 ,1095.00 ,1080.50 ,0.09K,0.18%
2016-01-12,1085.30 ,1094.00 ,1097.10 ,1083.60 ,0.21K,-1.00%
2016-01-11,1096.30 ,1106.00 ,1107.30 ,1094.40 ,0.16K,-0.16%
2016-01-08,1098.10 ,1108.70 ,1109.70 ,1093.00 ,0.31K,-0.90%
2016-01-07,1108.10 ,1092.70 ,1109.60 ,1091.40 ,0.27K,1.46%
2016-01-06,1092.20 ,1077.40 ,1094.70 ,1077.40 ,0.14K,1.25%
2016-01-05,1078.70 ,1076.60 ,1081.60 ,1076.20 ,0.09K,0.30%
2016-01-04,1075.50 ,1062.50 ,1082.30 ,1062.50 ,0.10K,1.41%
2015-12-31,1060.50 ,1062.30 ,1062.30 ,1059.00 ,0.04K,0.04%
2015-12-30,1060.10 ,1060.10 ,1060.10 ,1060.10 ,98.71K,-0.74%
2015-12-29,1068.00 ,1068.30 ,1074.60 ,1066.70 ,87.64K,-0.03%
2015-12-28,1068.30 ,1075.20 ,1076.50 ,1065.70 ,70.86K,-0.71%
2015-12-24,1075.90 ,1069.60 ,1076.60 ,1069.50 ,49.69K,0.71%
2015-12-23,1068.30 ,1072.00 ,1074.90 ,1067.60 ,69.36K,-0.54%
2015-12-22,1074.10 ,1078.00 ,1080.30 ,1071.20 ,80.66K,-0.60%
2015-12-21,1080.60 ,1065.20 ,1081.40 ,1063.10 ,122.22K,1.46%
2015-12-18,1065.00 ,1051.50 ,1071.00 ,1050.00 ,122.22K,1.47%
2015-12-17,1049.60 ,1072.20 ,1072.70 ,1046.80 ,168.67K,-2.53%
2015-12-16,1076.80 ,1060.30 ,1077.90 ,1060.20 ,143.15K,1.43%
2015-12-15,1061.60 ,1059.80 ,1067.90 ,1057.40 ,115.32K,-0.17%
2015-12-14,1063.40 ,1073.00 ,1077.30 ,1058.10 ,121.86K,-1.14%
2015-12-11,1075.70 ,1071.40 ,1079.10 ,1061.70 ,152.62K,0.35%
2015-12-10,1072.00 ,1071.70 ,1076.00 ,1068.80 ,99.73K,-0.42%
2015-12-09,1076.50 ,1074.30 ,1085.00 ,1068.70 ,140.71K,0.11%
2015-12-08,1075.30 ,1069.70 ,1078.40 ,1066.80 ,128.22K,0.01%
2015-12-07,1075.20 ,1085.50 ,1086.10 ,1065.00 ,109.37K,-0.82%
2015-12-04,1084.10 ,1062.00 ,1088.30 ,1057.20 ,208.90K,2.16%
2015-12-03,1061.20 ,1053.50 ,1064.50 ,1045.40 ,173.77K,0.70%
2015-12-02,1053.80 ,1067.90 ,1071.00 ,1049.40 ,124.02K,-0.91%
2015-12-01,1063.50 ,1064.60 ,1074.00 ,1062.60 ,121.57K,-0.17%
2015-11-30,1065.30 ,1056.00 ,1069.10 ,1052.20 ,113.17K,0.86%
2015-11-27,1056.20 ,1070.60 ,1073.90 ,1051.60 ,187.11K,0.00%
2015-11-26,1056.20 ,1070.60 ,1073.90 ,1051.60 ,187.11K,-1.27%
2015-11-25,1069.80 ,1074.70 ,1079.50 ,1067.50 ,0.39K,-0.33%
2015-11-24,1073.30 ,1069.90 ,1080.00 ,1069.60 ,0.60K,0.62%
2015-11-23,1066.70 ,1075.00 ,1075.00 ,1065.00 ,0.47K,-0.89%
2015-11-20,1076.30 ,1081.70 ,1087.30 ,1075.10 ,0.26K,-0.16%
2015-11-19,1078.00 ,1073.10 ,1085.00 ,1070.30 ,0.14K,0.86%
2015-11-18,1068.80 ,1069.20 ,1071.00 ,1066.10 ,0.14K,0.01%
2015-11-17,1068.70 ,1083.30 ,1083.30 ,1065.70 ,0.11K,-1.39%
2015-11-16,1083.80 ,1087.60 ,1096.50 ,1082.10 ,0.09K,0.24%
2015-11-13,1081.20 ,1084.00 ,1084.20 ,1080.70 ,0.07K,-0.01%
2015-11-12,1081.30 ,1086.80 ,1088.50 ,1074.60 ,0.11K,-0.36%
2015-11-11,1085.20 ,1092.50 ,1092.50 ,1084.00 ,0.16K,-0.34%
2015-11-10,1088.90 ,1090.50 ,1093.20 ,1086.40 ,0.05K,0.04%
2015-11-09,1088.50 ,1089.00 ,1093.30 ,1089.00 ,0.06K,0.04%
2015-11-06,1088.10 ,1107.70 ,1108.40 ,1085.00 ,0.04K,-1.49%
2015-11-05,1104.60 ,1109.90 ,1111.10 ,1103.10 ,0.05K,-0.18%
2015-11-04,1106.60 ,1121.00 ,1121.00 ,1106.70 ,0.04K,-0.71%
2015-11-03,1114.50 ,1135.50 ,1135.50 ,1114.40 ,0.08K,-1.92%
2015-11-02,1136.30 ,1141.10 ,1141.10 ,1133.80 ,0.01K,-0.48%
2015-10-30,1141.80 ,1142.40 ,1142.40 ,1139.30 ,0.01K,-0.51%
2015-10-29,1147.70 ,1147.70 ,1147.70 ,1147.70 ,155.61K,-2.41%
2015-10-28,1176.10 ,1166.70 ,1183.10 ,1152.10 ,187.31K,0.88%
2015-10-27,1165.80 ,1163.00 ,1168.80 ,1160.50 ,91.66K,-0.03%
2015-10-26,1166.20 ,1163.80 ,1169.60 ,1162.00 ,84.87K,0.29%
2015-10-23,1162.80 ,1165.90 ,1179.40 ,1158.60 ,150.80K,-0.28%
2015-10-22,1166.10 ,1166.80 ,1171.80 ,1161.40 ,117.32K,-0.09%
2015-10-21,1167.10 ,1175.50 ,1179.30 ,1163.20 ,122.07K,-0.88%
2015-10-20,1177.50 ,1170.60 ,1181.40 ,1167.20 ,124.73K,0.40%
2015-10-19,1172.80 ,1176.90 ,1178.20 ,1168.30 ,108.77K,-0.87%
2015-10-16,1183.10 ,1182.50 ,1184.80 ,1174.30 ,108.91K,-0.37%
2015-10-15,1187.50 ,1184.00 ,1191.70 ,1173.90 ,192.31K,0.65%
2015-10-14,1179.80 ,1168.20 ,1189.90 ,1162.50 ,199.97K,1.24%
2015-10-13,1165.40 ,1162.80 ,1168.60 ,1151.30 ,139.53K,0.08%
2015-10-12,1164.50 ,1155.00 ,1168.60 ,1154.30 ,111.80K,0.74%
